cotacaoCompra,cotacaoVenda,dataHoraCotacao
4.891,4.8916,2024-01-02 13:05:50.319
4.9206,4.9212,2024-01-03 13:14:41.153
4.9182,4.9188,2024-01-04 13:05:35.048
4.8893,4.8899,2024-01-05 13:10:31.843
4.8844,4.885,2024-01-08 13:11:30.760
4.8931,4.8937,2024-01-09 13:09:30.847
4.8895,4.8901,2024-01-10 13:09:34.773
4.8788,4.8794,2024-01-11 17:03:40.620
4.8537,4.8543,2024-01-12 13:26:56.442
4.8759,4.8765,2024-01-15 13:38:08.191
4.9032,4.9038,2024-01-16 13:35:20.885
4.934,4.9346,2024-01-17 14:31:39.649
4.9397,4.9403,2024-01-18 14:01:21.265
4.9217,4.9223,2024-01-19 13:47:20.596
4.9484,4.949,2024-01-22 14:01:41.133
4.9709,4.9715,2024-01-23 13:45:44.855
4.9186,4.9192,2024-01-24 15:11:37.211
4.9226,4.9232,2024-01-25 14:04:32.162
4.9119,4.9125,2024-01-26 15:32:06.422
4.9219,4.9225,2024-01-29 13:32:10.106
4.9632,4.9638,2024-01-30 14:41:21.832
4.9529,4.9535,2024-01-31 15:06:26.221
