data,cotacao_compra_media,cotacao_venda_media,cotacao_compra_min,cotacao_venda_max,qtde_cotacoes
2024-01-02,4.891,4.8916,4.891,4.8916,1
2024-01-03,4.9206,4.9212,4.9206,4.9212,1
2024-01-04,4.9182,4.9188,4.9182,4.9188,1
2024-01-05,4.8893,4.8899,4.8893,4.8899,1
2024-01-08,4.8844,4.885,4.8844,4.885,1
2024-01-09,4.8931,4.8937,4.8931,4.8937,1
2024-01-10,4.8895,4.8901,4.8895,4.8901,1
2024-01-11,4.8788,4.8794,4.8788,4.8794,1
2024-01-12,4.8537,4.8543,4.8537,4.8543,1
2024-01-15,4.8759,4.8765,4.8759,4.8765,1
2024-01-16,4.9032,4.9038,4.9032,4.9038,1
2024-01-17,4.934,4.9346,4.934,4.9346,1
2024-01-18,4.9397,4.9403,4.9397,4.9403,1
2024-01-19,4.9217,4.9223,4.9217,4.9223,1
2024-01-22,4.9484,4.949,4.9484,4.949,1
2024-01-23,4.9709,4.9715,4.9709,4.9715,1
2024-01-24,4.9186,4.9192,4.9186,4.9192,1
2024-01-25,4.9226,4.9232,4.9226,4.9232,1
2024-01-26,4.9119,4.9125,4.9119,4.9125,1
2024-01-29,4.9219,4.9225,4.9219,4.9225,1
2024-01-30,4.9632,4.9638,4.9632,4.9638,1
2024-01-31,4.9529,4.9535,4.9529,4.9535,1
