cotacaoCompra,cotacaoVenda,dataHoraCotacao,data
4.891,4.8916,2024-01-02 13:05:50.319,2024-01-02
4.9206,4.9212,2024-01-03 13:14:41.153,2024-01-03
4.9182,4.9188,2024-01-04 13:05:35.048,2024-01-04
4.8893,4.8899,2024-01-05 13:10:31.843,2024-01-05
4.8844,4.885,2024-01-08 13:11:30.760,2024-01-08
4.8931,4.8937,2024-01-09 13:09:30.847,2024-01-09
4.8895,4.8901,2024-01-10 13:09:34.773,2024-01-10
4.8788,4.8794,2024-01-11 17:03:40.620,2024-01-11
4.8537,4.8543,2024-01-12 13:26:56.442,2024-01-12
4.8759,4.8765,2024-01-15 13:38:08.191,2024-01-15
4.9032,4.9038,2024-01-16 13:35:20.885,2024-01-16
4.934,4.9346,2024-01-17 14:31:39.649,2024-01-17
4.9397,4.9403,2024-01-18 14:01:21.265,2024-01-18
4.9217,4.9223,2024-01-19 13:47:20.596,2024-01-19
4.9484,4.949,2024-01-22 14:01:41.133,2024-01-22
4.9709,4.9715,2024-01-23 13:45:44.855,2024-01-23
4.9186,4.9192,2024-01-24 15:11:37.211,2024-01-24
4.9226,4.9232,2024-01-25 14:04:32.162,2024-01-25
4.9119,4.9125,2024-01-26 15:32:06.422,2024-01-26
4.9219,4.9225,2024-01-29 13:32:10.106,2024-01-29
4.9632,4.9638,2024-01-30 14:41:21.832,2024-01-30
4.9529,4.9535,2024-01-31 15:06:26.221,2024-01-31
